#size	bubble		quick
10		0.000004	0.000006
100		0.000099	0.000034
1000	0.005960	0.000365
10000	0.212911	0.005145
100000	24.811456	0.012802
1000000 2495.856290 0.188695
#100000	24.940193	0.015263
#100000	25.151550	0.012608
10	0.000000	0.000000
100	0.000000	0.000000
1000	0.003000	0.000000
10000	0.124000	0.007000
